Sl.No.,Dist. Code,Dist. Name,Block Code,Block name,School code,School Name,Schcat,Schcat1,Schmgt_abstract,Catg,Enr_slab,Enrol,Enr_group,Grant_a mount in lakhs,Amount,Now proposed to release 100% amount,"General component (2202-01-001-15-
05-500-503)","SC
component (2202-01-
789-15-05-
500-503)","ST
component (2202-01-
796-15-05-
500-503)",
1946,3609,BHADRADRI KOTHAGUDEM,360910,TEKULAPALLE,36091000307,MPUPS KISTARAM,2,02_UPS,01_Govt_Localbody,Elementary,10_81 to 90,86,02_31-100,0.25,25000,25000,18000,4250,2750,
1947,3609,BHADRADRI KOTHAGUDEM,360910,TEKULAPALLE,36091000308,MPUPS CHINTHONI CHELAKA,2,02_UPS,01_Govt_Localbody,Elementary,10_81 to 90,82,02_31-100,0.25,25000,25000,18000,4250,2750,
1948,3609,BHADRADRI KOTHAGUDEM,360910,TEKULAPALLE,36091000309,MPUPS LACHAGUDEM,2,02_UPS,01_Govt_Localbody,Elementary,05_31 to 40,35,02_31-100,0.25,25000,25000,18000,4250,2750,
1949,3609,BHADRADRI KOTHAGUDEM,360910,TEKULAPALLE,36091000310,TW ASHRAM HS GANGARAM,7,03_HS,08_TW (Dept),sec_hsec,12_101 to 200,170,03_101-250,0.50,50000,50000,36000,8500,5500,
1950,3609,BHADRADRI KOTHAGUDEM,360910,TEKULAPALLE,36091000401,MPPS ROLLAPADU,1,01_PS,01_Govt_Localbody,Elementary,06_41 to 50,44,02_31-100,0.25,25000,25000,18000,4250,2750,
1951,3609,BHADRADRI KOTHAGUDEM,360910,TEKULAPALLE,36091000402,MPPS NARSAIGUDEM,1,01_PS,01_Govt_Localbody,Elementary,03_11 to 20,14,01_1-30,0.10,10000,10000,7200,1700,1100,
1952,3609,BHADRADRI KOTHAGUDEM,360910,TEKULAPALLE,36091000403,MPPS KOKYA THANDA,1,01_PS,01_Govt_Localbody,Elementary,03_11 to 20,18,01_1-30,0.10,10000,10000,7200,1700,1100,
1953,3609,BHADRADRI KOTHAGUDEM,360910,TEKULAPALLE,36091000405,MPPS KOTALLA,1,01_PS,01_Govt_Localbody,Elementary,03_11 to 20,18,01_1-30,0.10,10000,10000,7200,1700,1100,
1954,3609,BHADRADRI KOTHAGUDEM,360910,TEKULAPALLE,36091000406,MPPS VENKATYA THANDA STAGE,1,01_PS,01_Govt_Localbody,Elementary,06_41 to 50,47,02_31-100,0.25,25000,25000,18000,4250,2750,
1955,3609,BHADRADRI KOTHAGUDEM,360910,TEKULAPALLE,36091000408,MPPS THUMALACHALKA,1,01_PS,01_Govt_Localbody,Elementary,05_31 to 40,40,02_31-100,0.25,25000,25000,18000,4250,2750,
1956,3609,BHADRADRI KOTHAGUDEM,360910,TEKULAPALLE,36091000409,MPPS SINGYA THANDA,1,01_PS,01_Govt_Localbody,Elementary,03_11 to 20,14,01_1-30,0.10,10000,10000,7200,1700,1100,
1957,3609,BHADRADRI KOTHAGUDEM,360910,TEKULAPALLE,36091000410,MPPS VAGODDU THANDA,1,01_PS,01_Govt_Localbody,Elementary,06_41 to 50,52,02_31-100,0.25,25000,25000,18000,4250,2750,
1958,3609,BHADRADRI KOTHAGUDEM,360910,TEKULAPALLE,36091000412,MPPS REGULA THANDA,1,01_PS,01_Govt_Localbody,Elementary,03_11 to 20,23,01_1-30,0.10,10000,10000,7200,1700,1100,
1959,3609,BHADRADRI KOTHAGUDEM,360910,TEKULAPALLE,36091000413,MPPS MANGALI THANDA,1,01_PS,01_Govt_Localbody,Elementary,03_11 to 20,11,01_1-30,0.10,10000,10000,7200,1700,1100,
1960,3609,BHADRADRI KOTHAGUDEM,360910,TEKULAPALLE,36091000414,MPPS CHINTHALANKA,1,01_PS,01_Govt_Localbody,Elementary,04_21 to 30,21,01_1-30,0.10,10000,10000,7200,1700,1100,
1961,3609,BHADRADRI KOTHAGUDEM,360910,TEKULAPALLE,36091000415,MPPS RAJU THANDA,1,01_PS,01_Govt_Localbody,Elementary,03_11 to 20,13,01_1-30,0.10,10000,10000,7200,1700,1100,
1962,3609,BHADRADRI KOTHAGUDEM,360910,TEKULAPALLE,36091000416,MPPS DANTELATHANDA,1,01_PS,01_Govt_Localbody,Elementary,03_11 to 20,18,01_1-30,0.10,10000,10000,7200,1700,1100,
1963,3609,BHADRADRI KOTHAGUDEM,360910,TEKULAPALLE,36091000421,MPPS HANUMA THANDA,1,01_PS,01_Govt_Localbody,Elementary,04_21 to 30,23,01_1-30,0.10,10000,10000,7200,1700,1100,
1964,3609,BHADRADRI KOTHAGUDEM,360910,TEKULAPALLE,36091000422,MPPS MADDIRALATHANDA,1,01_PS,01_Govt_Localbody,Elementary,03_11 to 20,12,01_1-30,0.10,10000,10000,7200,1700,1100,
1965,3609,BHADRADRI KOTHAGUDEM,360910,TEKULAPALLE,36091000424,MPPS SAMYATHANDA,1,01_PS,01_Govt_Localbody,Elementary,03_11 to 20,14,01_1-30,0.10,10000,10000,7200,1700,1100,
1966,3609,BHADRADRI KOTHAGUDEM,360910,TEKULAPALLE,36091000426,MPPS TADIKALAPUDI STATION,1,01_PS,01_Govt_Localbody,Elementary,05_31 to 40,38,02_31-100,0.25,25000,25000,18000,4250,2750,
1967,3609,BHADRADRI KOTHAGUDEM,360910,TEKULAPALLE,36091000428,TWPS RAVULAPADU,1,01_PS,08_TW (Dept),Elementary,04_21 to 30,21,01_1-30,0.10,10000,10000,7200,1700,1100,
1968,3609,BHADRADRI KOTHAGUDEM,360910,TEKULAPALLE,36091000429,TW GPS LAXMIPURAM,1,01_PS,08_TW (Dept),Elementary,02_1 to 10,11,01_1-30,0.10,10000,10000,7200,1700,1100,
1969,3609,BHADRADRI KOTHAGUDEM,360910,TEKULAPALLE,36091000430,TWPS SANTHINAGAR,1,01_PS,08_TW (Dept),Elementary,04_21 to 30,31,02_31-100,0.25,25000,25000,18000,4250,2750,
1970,3609,BHADRADRI KOTHAGUDEM,360910,TEKULAPALLE,36091000431,TWPS ABBIREDDIGUDEM,1,01_PS,08_TW (Dept),Elementary,03_11 to 20,18,01_1-30,0.10,10000,10000,7200,1700,1100,
1971,3609,BHADRADRI KOTHAGUDEM,360910,TEKULAPALLE,36091000432,TWPS COLONY THANDA,1,01_PS,08_TW (Dept),Elementary,03_11 to 20,16,01_1-30,0.10,10000,10000,7200,1700,1100,
1972,3609,BHADRADRI KOTHAGUDEM,360910,TEKULAPALLE,36091000434,TW ASHRAM PS KOYAGUDEM,1,01_PS,08_TW (Dept),Elementary,05_31 to 40,37,02_31-100,0.25,25000,25000,18000,4250,2750,
1973,3609,BHADRADRI KOTHAGUDEM,360910,TEKULAPALLE,36091000435,MPPS BETHAMPUDI,1,01_PS,01_Govt_Localbody,Elementary,06_41 to 50,51,02_31-100,0.25,25000,25000,18000,4250,2750,
1974,3609,BHADRADRI KOTHAGUDEM,360910,TEKULAPALLE,36091000436,MPUPS 9TH MILE THANDA,2,02_UPS,01_Govt_Localbody,Elementary,03_11 to 20,19,01_1-30,0.10,10000,10000,7200,1700,1100,
1975,3609,BHADRADRI KOTHAGUDEM,360910,TEKULAPALLE,36091000438,MPUPS KOYAGUDEM,2,02_UPS,01_Govt_Localbody,Elementary,09_71 to 80,76,02_31-100,0.25,25000,25000,18000,4250,2750,
1976,3609,BHADRADRI KOTHAGUDEM,360910,TEKULAPALLE,36091000439,MPUPS MADRASTHANDA,2,02_UPS,01_Govt_Localbody,Elementary,07_51 to 60,53,02_31-100,0.25,25000,25000,18000,4250,2750,
1977,3609,BHADRADRI KOTHAGUDEM,360910,TEKULAPALLE,36091000440,MPUPS PATHA THADIKALA PUDI,2,02_UPS,01_Govt_Localbody,Elementary,10_81 to 90,79,02_31-100,0.25,25000,25000,18000,4250,2750,
1978,3609,BHADRADRI KOTHAGUDEM,360910,TEKULAPALLE,36091000441,MPPS TEKULAPALLY,1,01_PS,01_Govt_Localbody,Elementary,10_81 to 90,84,02_31-100,0.25,25000,25000,18000,4250,2750,
1979,3609,BHADRADRI KOTHAGUDEM,360910,TEKULAPALLE,36091000443,MPUPS BADDU THANDA,2,02_UPS,01_Govt_Localbody,Elementary,03_11 to 20,18,01_1-30,0.10,10000,10000,7200,1700,1100,
1980,3609,BHADRADRI KOTHAGUDEM,360910,TEKULAPALLE,36091000444,MPUPS JETHYATHANDA,2,02_UPS,01_Govt_Localbody,Elementary,03_11 to 20,18,01_1-30,0.10,10000,10000,7200,1700,1100,
1981,3609,BHADRADRI KOTHAGUDEM,360910,TEKULAPALLE,36091000445,MPUPS THAVURYATHANDA,2,02_UPS,01_Govt_Localbody,Elementary,05_31 to 40,37,02_31-100,0.25,25000,25000,18000,4250,2750,
1982,3609,BHADRADRI KOTHAGUDEM,360910,TEKULAPALLE,36091000446,MPUPS KONDENGULA BODU,2,02_UPS,01_Govt_Localbody,Elementary,04_21 to 30,26,01_1-30,0.10,10000,10000,7200,1700,1100,
1983,3609,BHADRADRI KOTHAGUDEM,360910,TEKULAPALLE,36091000447,ZPHS SULANAGAR,7,03_HS,01_Govt_Localbody,sec_hsec,12_101 to 200,158,03_101-250,0.50,50000,50000,36000,8500,5500,
1984,3609,BHADRADRI KOTHAGUDEM,360910,TEKULAPALLE,36091000448,GOVT. HS TEKULAPALLY,7,03_HS,01_Govt_Localbody,sec_hsec,14_301 to 400,328,04_251-1000,0.75,75000,75000,54000,12750,8250,
1985,3609,BHADRADRI KOTHAGUDEM,360910,TEKULAPALLE,36091000450,ZPHS BETHAMPUDI,7,03_HS,01_Govt_Localbody,sec_hsec,07_51 to 60,59,02_31-100,0.25,25000,25000,18000,4250,2750,
1986,3609,BHADRADRI KOTHAGUDEM,360910,TEKULAPALLE,36091000452,MPPS KUNTALLA,1,01_PS,01_Govt_Localbody,Elementary,04_21 to 30,22,01_1-30,0.10,10000,10000,7200,1700,1100,
1987,3609,BHADRADRI KOTHAGUDEM,360910,TEKULAPALLE,36091000453,ZPHS KUNTALLA,7,03_HS,01_Govt_Localbody,sec_hsec,05_31 to 40,38,02_31-100,0.25,25000,25000,18000,4250,2750,
1988,3609,BHADRADRI KOTHAGUDEM,360910,TEKULAPALLE,36091000456,KGBV TEKULAPALLI,5,04_HSS,04_KGBV,sec_hsec,13_201 to 300,267,04_251-1000,0.75,75000,75000,54000,12750,8250,
1989,3609,BHADRADRI KOTHAGUDEM,360910,TEKULAPALLE,36091000461,"GOVT.JR.COLLEGE,TEKULAPALLI",11,05_JRC,01_Govt_Localbody,sec_hsec,13_201 to 300,243,03_101-250,0.50,50000,50000,36000,8500,5500,
1990,3609,BHADRADRI KOTHAGUDEM,360910,TEKULAPALLE,36091000501,MPPS MUTHYALAMPADU,1,01_PS,01_Govt_Localbody,Elementary,04_21 to 30,21,01_1-30,0.10,10000,10000,7200,1700,1100,
1991,3609,BHADRADRI KOTHAGUDEM,360910,TEKULAPALLE,36091000502,MPPS MUTHYALAMPADU (HC),1,01_PS,01_Govt_Localbody,Elementary,05_31 to 40,33,02_31-100,0.25,25000,25000,18000,4250,2750,
1992,3609,BHADRADRI KOTHAGUDEM,360910,TEKULAPALLE,36091000503,MPPS TURPUGUDEM,1,01_PS,01_Govt_Localbody,Elementary,05_31 to 40,34,02_31-100,0.25,25000,25000,18000,4250,2750,
1993,3609,BHADRADRI KOTHAGUDEM,360910,TEKULAPALLE,36091000504,MPPS RAMPURAM THANDA,1,01_PS,01_Govt_Localbody,Elementary,03_11 to 20,14,01_1-30,0.10,10000,10000,7200,1700,1100,
1994,3609,BHADRADRI KOTHAGUDEM,360910,TEKULAPALLE,36091000507,MPPS KOTHATHANDA (PEGALLAPADU),1,01_PS,01_Govt_Localbody,Elementary,03_11 to 20,19,01_1-30,0.10,10000,10000,7200,1700,1100,
1995,3609,BHADRADRI KOTHAGUDEM,360910,TEKULAPALLE,36091000508,ZPHS MUTHYALAMPADU,7,03_HS,01_Govt_Localbody,sec_hsec,10_81 to 90,88,02_31-100,0.25,25000,25000,18000,4250,2750,
Sl.No.,Dist. Code,Dist. Name,Block Code,Block name,School code,School Name,Schcat,Schcat1,Schmgt_abstract,Catg,Enr_slab,Enrol,Enr_group,Grant_a mount in lakhs,Amount,Now proposed to release 100% amount,"General component (2202-01-001-15-
05-500-503)","SC
component (2202-01-
789-15-05-
500-503)","ST
component (2202-01-
796-15-05-
500-503)",
1996,3609,BHADRADRI KOTHAGUDEM,360910,TEKULAPALLE,36091000602,MPPS MANGYATHANDA,1,01_PS,01_Govt_Localbody,Elementary,03_11 to 20,15,01_1-30,0.10,10000,10000,7200,1700,1100,
1997,3609,BHADRADRI KOTHAGUDEM,360910,TEKULAPALLE,36091000603,MPPS BHILLUDUTHANDA,1,01_PS,01_Govt_Localbody,Elementary,04_21 to 30,21,01_1-30,0.10,10000,10000,7200,1700,1100,
1998,3609,BHADRADRI KOTHAGUDEM,360910,TEKULAPALLE,36091000604,MPPS GOPYATHANDA,1,01_PS,01_Govt_Localbody,Elementary,05_31 to 40,32,02_31-100,0.25,25000,25000,18000,4250,2750,
1999,3609,BHADRADRI KOTHAGUDEM,360910,TEKULAPALLE,36091000605,MPPS SURYATHANDA,1,01_PS,01_Govt_Localbody,Elementary,03_11 to 20,17,01_1-30,0.10,10000,10000,7200,1700,1100,
2000,3609,BHADRADRI KOTHAGUDEM,360910,TEKULAPALLE,36091000606,MPPS BOMMANAPALLY,1,01_PS,01_Govt_Localbody,Elementary,06_41 to 50,48,02_31-100,0.25,25000,25000,18000,4250,2750,
2001,3609,BHADRADRI KOTHAGUDEM,360910,TEKULAPALLE,36091000608,MPPS KOTHATHANDA (GOLLAPALLY),1,01_PS,01_Govt_Localbody,Elementary,04_21 to 30,22,01_1-30,0.10,10000,10000,7200,1700,1100,
2002,3609,BHADRADRI KOTHAGUDEM,360910,TEKULAPALLE,36091000609,MPUPS SHAMBUNIGUDEM,2,02_UPS,01_Govt_Localbody,Elementary,11_91 to 100,95,02_31-100,0.25,25000,25000,18000,4250,2750,
2003,3609,BHADRADRI KOTHAGUDEM,360910,TEKULAPALLE,36091000610,ZPHS BOMMANAPALLY,7,03_HS,01_Govt_Localbody,sec_hsec,12_101 to 200,118,03_101-250,0.50,50000,50000,36000,8500,5500,
2004,3609,BHADRADRI KOTHAGUDEM,360909,YELLANDU,36090900101,TWPS  SUVARNAPURAM,1,01_PS,08_TW (Dept),Elementary,03_11 to 20,11,01_1-30,0.10,10000,10000,7200,1700,1100,
2005,3609,BHADRADRI KOTHAGUDEM,360909,YELLANDU,36090900103,MPUPS MAMIDIGUNDALA,2,02_UPS,01_Govt_Localbody,Elementary,05_31 to 40,34,02_31-100,0.25,25000,25000,18000,4250,2750,
2006,3609,BHADRADRI KOTHAGUDEM,360909,YELLANDU,36090900104,MPPS MEDIKUNTA,1,01_PS,01_Govt_Localbody,Elementary,03_11 to 20,19,01_1-30,0.10,10000,10000,7200,1700,1100,
2007,3609,BHADRADRI KOTHAGUDEM,360909,YELLANDU,36090900105,TWPS RAJYATHANDA,1,01_PS,08_TW (Dept),Elementary,03_11 to 20,15,01_1-30,0.10,10000,10000,7200,1700,1100,
2008,3609,BHADRADRI KOTHAGUDEM,360909,YELLANDU,36090900202,MPPS CHALLA SAMUDRAM,1,01_PS,01_Govt_Localbody,Elementary,04_21 to 30,26,01_1-30,0.10,10000,10000,7200,1700,1100,
2009,3609,BHADRADRI KOTHAGUDEM,360909,YELLANDU,36090900204,MPPS KOMMUGUDEM,1,01_PS,01_Govt_Localbody,Elementary,03_11 to 20,14,01_1-30,0.10,10000,10000,7200,1700,1100,
2010,3609,BHADRADRI KOTHAGUDEM,360909,YELLANDU,36090900205,MPPS DHANIYALAPADU,1,01_PS,01_Govt_Localbody,Elementary,04_21 to 30,25,01_1-30,0.10,10000,10000,7200,1700,1100,
2011,3609,BHADRADRI KOTHAGUDEM,360909,YELLANDU,36090900206,MPPS ODDUGUDEM,1,01_PS,01_Govt_Localbody,Elementary,04_21 to 30,23,01_1-30,0.10,10000,10000,7200,1700,1100,
2012,3609,BHADRADRI KOTHAGUDEM,360909,YELLANDU,36090900207,MPPS VEMULAWADA,1,01_PS,01_Govt_Localbody,Elementary,04_21 to 30,23,01_1-30,0.10,10000,10000,7200,1700,1100,
2013,3609,BHADRADRI KOTHAGUDEM,360909,YELLANDU,36090900209,MPPS KATTUGUDEM,1,01_PS,01_Govt_Localbody,Elementary,03_11 to 20,17,01_1-30,0.10,10000,10000,7200,1700,1100,
2014,3609,BHADRADRI KOTHAGUDEM,360909,YELLANDU,36090900210,MPPS NEHRUNAGAR,1,01_PS,01_Govt_Localbody,Elementary,03_11 to 20,18,01_1-30,0.10,10000,10000,7200,1700,1100,
2015,3609,BHADRADRI KOTHAGUDEM,360909,YELLANDU,36090900212,TW ASHRAM PS CHENNANGULAGADDA,1,01_PS,08_TW (Dept),Elementary,03_11 to 20,22,01_1-30,0.10,10000,10000,7200,1700,1100,
2016,3609,BHADRADRI KOTHAGUDEM,360909,YELLANDU,36090900214,MPUPS LACHAGUDEM,2,02_UPS,01_Govt_Localbody,Elementary,03_11 to 20,20,01_1-30,0.10,10000,10000,7200,1700,1100,
2017,3609,BHADRADRI KOTHAGUDEM,360909,YELLANDU,36090900216,ZPHS CHALLASAMUDRAM,7,03_HS,01_Govt_Localbody,sec_hsec,12_101 to 200,198,03_101-250,0.50,50000,50000,36000,8500,5500,
2018,3609,BHADRADRI KOTHAGUDEM,360909,YELLANDU,36090900217,TW ASHRAM HS CHENNANGULAGADDA,7,03_HS,08_TW (Dept),sec_hsec,12_101 to 200,221,03_101-250,0.50,50000,50000,36000,8500,5500,
2019,3609,BHADRADRI KOTHAGUDEM,360909,YELLANDU,36090900219,MPUPS NARAYANAPURAM,2,02_UPS,01_Govt_Localbody,Elementary,03_11 to 20,12,01_1-30,0.10,10000,10000,7200,1700,1100,
2020,3609,BHADRADRI KOTHAGUDEM,360909,YELLANDU,36090900301,MPPS MUTHARAPU KATTA,1,01_PS,01_Govt_Localbody,Elementary,07_51 to 60,60,02_31-100,0.25,25000,25000,18000,4250,2750,
2021,3609,BHADRADRI KOTHAGUDEM,360909,YELLANDU,36090900302,MPPS MONDI THOGU,1,01_PS,01_Govt_Localbody,Elementary,04_21 to 30,21,01_1-30,0.10,10000,10000,7200,1700,1100,
2022,3609,BHADRADRI KOTHAGUDEM,360909,YELLANDU,36090900303,MPPS PATHA POOSAPALLY,1,01_PS,01_Govt_Localbody,Elementary,03_11 to 20,14,01_1-30,0.10,10000,10000,7200,1700,1100,
2023,3609,BHADRADRI KOTHAGUDEM,360909,YELLANDU,36090900304,MPPS SEETHANAGARAM,1,01_PS,01_Govt_Localbody,Elementary,03_11 to 20,16,01_1-30,0.10,10000,10000,7200,1700,1100,
2024,3609,BHADRADRI KOTHAGUDEM,360909,YELLANDU,36090900305,MPPS 21 PIT YELLANDU,1,01_PS,01_Govt_Localbody,Elementary,07_51 to 60,59,02_31-100,0.25,25000,25000,18000,4250,2750,
2025,3609,BHADRADRI KOTHAGUDEM,360909,YELLANDU,36090900306,MPPS STRUT PIT,1,01_PS,01_Govt_Localbody,Elementary,04_21 to 30,23,01_1-30,0.10,10000,10000,7200,1700,1100,
2026,3609,BHADRADRI KOTHAGUDEM,360909,YELLANDU,36090900308,MPPS DHARMAPURAM,1,01_PS,01_Govt_Localbody,Elementary,05_31 to 40,33,02_31-100,0.25,25000,25000,18000,4250,2750,
2027,3609,BHADRADRI KOTHAGUDEM,360909,YELLANDU,36090900309,MPPS DHARMARAM THANDA,1,01_PS,01_Govt_Localbody,Elementary,03_11 to 20,19,01_1-30,0.10,10000,10000,7200,1700,1100,
2028,3609,BHADRADRI KOTHAGUDEM,360909,YELLANDU,36090900310,MPPS NAYAKULA GUDEM,1,01_PS,01_Govt_Localbody,Elementary,03_11 to 20,18,01_1-30,0.10,10000,10000,7200,1700,1100,
2029,3609,BHADRADRI KOTHAGUDEM,360909,YELLANDU,36090900311,MPPS VEERAPURAM,1,01_PS,01_Govt_Localbody,Elementary,03_11 to 20,12,01_1-30,0.10,10000,10000,7200,1700,1100,
2030,3609,BHADRADRI KOTHAGUDEM,360909,YELLANDU,36090900312,MPPS TEEGALANCHA,1,01_PS,01_Govt_Localbody,Elementary,03_11 to 20,18,01_1-30,0.10,10000,10000,7200,1700,1100,
2031,3609,BHADRADRI KOTHAGUDEM,360909,YELLANDU,36090900314,"MPPS SHANTHI NAGAR, ST COLONY",1,01_PS,01_Govt_Localbody,Elementary,03_11 to 20,14,01_1-30,0.10,10000,10000,7200,1700,1100,
2032,3609,BHADRADRI KOTHAGUDEM,360909,YELLANDU,36090900318,TWPS MITTAPALLI,1,01_PS,08_TW (Dept),Elementary,03_11 to 20,18,01_1-30,0.10,10000,10000,7200,1700,1100,
2033,3609,BHADRADRI KOTHAGUDEM,360909,YELLANDU,36090900319,TW ASHRAM PS (G) ROMPAID,1,01_PS,08_TW (Dept),Elementary,07_51 to 60,56,02_31-100,0.25,25000,25000,18000,4250,2750,
2034,3609,BHADRADRI KOTHAGUDEM,360909,YELLANDU,36090900320,TWPS ANDUGULABODU,1,01_PS,08_TW (Dept),Elementary,04_21 to 30,21,01_1-30,0.10,10000,10000,7200,1700,1100,
2035,3609,BHADRADRI KOTHAGUDEM,360909,YELLANDU,36090900322,MPPS MITTAPALLIVAGU GUMPU,1,01_PS,01_Govt_Localbody,Elementary,03_11 to 20,23,01_1-30,0.10,10000,10000,7200,1700,1100,
2036,3609,BHADRADRI KOTHAGUDEM,360909,YELLANDU,36090900323,TWPS MASIVAGUTHANDA,1,01_PS,08_TW (Dept),Elementary,03_11 to 20,12,01_1-30,0.10,10000,10000,7200,1700,1100,
2037,3609,BHADRADRI KOTHAGUDEM,360909,YELLANDU,36090900325,MPUPS ROMPAID,2,02_UPS,01_Govt_Localbody,Elementary,05_31 to 40,33,02_31-100,0.25,25000,25000,18000,4250,2750,
2038,3609,BHADRADRI KOTHAGUDEM,360909,YELLANDU,36090900327,"MPUPS 24 INCLINE,YLD.",2,02_UPS,01_Govt_Localbody,Elementary,05_31 to 40,50,02_31-100,0.25,25000,25000,18000,4250,2750,
2039,3609,BHADRADRI KOTHAGUDEM,360909,YELLANDU,36090900328,MPUPS MAMIDIGUDEM,2,02_UPS,01_Govt_Localbody,Elementary,03_11 to 20,12,01_1-30,0.10,10000,10000,7200,1700,1100,
2040,3609,BHADRADRI KOTHAGUDEM,360909,YELLANDU,36090900330,ZPHS 21 PIT YELLANDU,7,03_HS,01_Govt_Localbody,sec_hsec,06_41 to 50,50,02_31-100,0.25,25000,25000,18000,4250,2750,
2041,3609,BHADRADRI KOTHAGUDEM,360909,YELLANDU,36090900331,TW ASHRAM GILRS HS ROMPAID,7,03_HS,08_TW (Dept),sec_hsec,16_501 to 600,543,04_251-1000,0.75,75000,75000,54000,12750,8250,
2042,3609,BHADRADRI KOTHAGUDEM,360909,YELLANDU,36090900336,MPPS PEDDAGUMPU,1,01_PS,01_Govt_Localbody,Elementary,03_11 to 20,14,01_1-30,0.10,10000,10000,7200,1700,1100,
2043,3609,BHADRADRI KOTHAGUDEM,360909,YELLANDU,36090900401,MPPS KOMARARAM,1,01_PS,01_Govt_Localbody,Elementary,06_41 to 50,49,02_31-100,0.25,25000,25000,18000,4250,2750,
2044,3609,BHADRADRI KOTHAGUDEM,360909,YELLANDU,36090900402,MPPS EDIPPALAGUDEM,1,01_PS,01_Govt_Localbody,Elementary,04_21 to 30,23,01_1-30,0.10,10000,10000,7200,1700,1100,
2045,3609,BHADRADRI KOTHAGUDEM,360909,YELLANDU,36090900404,MPPS YELLAPURAM,1,01_PS,01_Govt_Localbody,Elementary,03_11 to 20,19,01_1-30,0.10,10000,10000,7200,1700,1100,
2046,3609,BHADRADRI KOTHAGUDEM,360909,YELLANDU,36090900406,MPPS LAXMINARAYANA THANDA,1,01_PS,01_Govt_Localbody,Elementary,04_21 to 30,27,01_1-30,0.10,10000,10000,7200,1700,1100,
2047,3609,BHADRADRI KOTHAGUDEM,360909,YELLANDU,36090900407,MPPS SARVEY THANDA,1,01_PS,01_Govt_Localbody,Elementary,04_21 to 30,26,01_1-30,0.10,10000,10000,7200,1700,1100,
2048,3609,BHADRADRI KOTHAGUDEM,360909,YELLANDU,36090900409,MPPS BOI THANDA,1,01_PS,01_Govt_Localbody,Elementary,03_11 to 20,18,01_1-30,0.10,10000,10000,7200,1700,1100,
2049,3609,BHADRADRI KOTHAGUDEM,360909,YELLANDU,36090900411,TWPS  MARRIGUDEM,1,01_PS,08_TW (Dept),Elementary,04_21 to 30,26,01_1-30,0.10,10000,10000,7200,1700,1100,
2050,3609,BHADRADRI KOTHAGUDEM,360909,YELLANDU,36090900412,TWPS VAMPUGUDEM,1,01_PS,08_TW (Dept),Elementary,04_21 to 30,25,01_1-30,0.10,10000,10000,7200,1700,1100,
2051,3609,BHADRADRI KOTHAGUDEM,360909,YELLANDU,36090900413,TWPS YELLAPURAM,1,01_PS,08_TW (Dept),Elementary,05_31 to 40,32,02_31-100,0.25,25000,25000,18000,4250,2750,
2052,3609,BHADRADRI KOTHAGUDEM,360909,YELLANDU,36090900414,TWPS RAMAKRISHNAPURAM,1,01_PS,08_TW (Dept),Elementary,04_21 to 30,21,01_1-30,0.10,10000,10000,7200,1700,1100,
2053,3609,BHADRADRI KOTHAGUDEM,360909,YELLANDU,36090900415,TWPS RAGHAVAPURAM,1,01_PS,08_TW (Dept),Elementary,03_11 to 20,19,01_1-30,0.10,10000,10000,7200,1700,1100,
2054,3609,BHADRADRI KOTHAGUDEM,360909,YELLANDU,36090900416,TWPS BHADRUTHANDA,1,01_PS,08_TW (Dept),Elementary,03_11 to 20,18,01_1-30,0.10,10000,10000,7200,1700,1100,
2055,3609,BHADRADRI KOTHAGUDEM,360909,YELLANDU,36090900417,TWPS THUNTABALU THANDA,1,01_PS,08_TW (Dept),Elementary,02_1 to 10,12,01_1-30,0.10,10000,10000,7200,1700,1100,
2056,3609,BHADRADRI KOTHAGUDEM,360909,YELLANDU,36090900419,MPUPS POLARAM,2,02_UPS,01_Govt_Localbody,Elementary,06_41 to 50,44,02_31-100,0.25,25000,25000,18000,4250,2750,
2057,3609,BHADRADRI KOTHAGUDEM,360909,YELLANDU,36090900420,MPUPS MANIKYARAM,2,02_UPS,01_Govt_Localbody,Elementary,09_71 to 80,75,02_31-100,0.25,25000,25000,18000,4250,2750,
2058,3609,BHADRADRI KOTHAGUDEM,360909,YELLANDU,36090900421,ZPHS KOMARARAM,7,03_HS,01_Govt_Localbody,sec_hsec,12_101 to 200,156,03_101-250,0.50,50000,50000,36000,8500,5500,
2059,3609,BHADRADRI KOTHAGUDEM,360909,YELLANDU,36090900426,MPPS POCHARAM THANDA,1,01_PS,01_Govt_Localbody,Elementary,06_41 to 50,46,02_31-100,0.25,25000,25000,18000,4250,2750,
2060,3609,BHADRADRI KOTHAGUDEM,360909,YELLANDU,36090900502,MPPS SUDIMALLA,1,01_PS,01_Govt_Localbody,Elementary,05_31 to 40,35,02_31-100,0.25,25000,25000,18000,4250,2750,
2061,3609,BHADRADRI KOTHAGUDEM,360909,YELLANDU,36090900503,MPPS JAGADAMBA GUMPU,1,01_PS,01_Govt_Localbody,Elementary,03_11 to 20,14,01_1-30,0.10,10000,10000,7200,1700,1100,
2062,3609,BHADRADRI KOTHAGUDEM,360909,YELLANDU,36090900504,MPPS LALITHAPURAM,1,01_PS,01_Govt_Localbody,Elementary,03_11 to 20,13,01_1-30,0.10,10000,10000,7200,1700,1100,
2063,3609,BHADRADRI KOTHAGUDEM,360909,YELLANDU,36090900505,MPPS KOLLAPURAM,1,01_PS,01_Govt_Localbody,Elementary,04_21 to 30,29,01_1-30,0.10,10000,10000,7200,1700,1100,
